Tool	Rank	Precision	Sensitivity
Kraken2	Genus	0.9950608	0.9253473
Kraken2	Species	0.9689721	0.8866239
KrakenUniq	Genus	0.989	0.919
KrakenUniq	Species	0.970	0.886
Centrifuge	Genus	0.989	0.928
Centrifuge	Species	0.964	0.886
Kaiju	Genus	0.983	0.870
Kaiju	Species	0.953	0.729
Kraken2X	Genus	0.974	0.849
Kraken2X	Species	0.937	0.707
MMseqs2	Genus	0.987	0.744
MMseqs2	Species	0.969	0.519
Hybrid	Genus	0.988	0.945
Hybrid	Species	0.956	0.887
Metabuli-P	Genus	0.9931152	0.9416795
Metabuli-P	Species	0.9805615	0.8283699
Metabuli	Genus	0.9852467	0.9499132
Metabuli	Species	0.95494	0.8813315
