Tool	Rank	Precision	Sensitivity
Kraken2	Genus	0.9674336	0.833084
Kraken2	Species	0.9188264	0.6664635
KrakenUniq	Genus	0.976	0.805
KrakenUniq	Species	0.934	0.625
Centrifuge	Genus	0.972	0.752
Centrifuge	Species	0.935	0.642
Kaiju	Genus	0.941	0.574
Kaiju	Species	0.861	0.329
Kraken2X	Genus	0.864	0.601
Kraken2X	Species	0.736	0.368
MMseqs2	Genus	0.970	0.485
MMseqs2	Species	0.880	0.152
Hybrid	Genus	0.966	0.837
Hybrid	Species	0.915	0.667
Metabuli-P	Genus	0.9752492	0.7833586
Metabuli-P	Species	0.9379979	0.5703147
Metabuli	Genus	0.9730757	0.7854558
Metabuli	Species	0.9244162	0.5952658
