Tool	Sample	Value	
Kraken2	SRR11772358	0.1123541	0.0713328223076923
Kraken2	SRR11772363	0.18587861	
Kraken2	SRR11772364	0.0490864	
Kraken2	SRR11772365	0.09403689	
Kraken2	SRR11772366	0	
Kraken2	SRR11772374	0	
Kraken2	SRR11772380	0.05067369	
Kraken2	SRR11772386	0	
Kraken2	SRR12340058	0.20094405	
Kraken2	SRR12340064	0.04580086	
Kraken2	SRR12340077	0.0824503	
Kraken2	SRR12340084	0.07678387	
Kraken2	SRR12340087	0.02931792	
KrakenUniq	SRR11772358	0.14357682	0.0820879892307692
KrakenUniq	SRR11772363	0.21967473	
KrakenUniq	SRR11772364	0.0490864	
KrakenUniq	SRR11772365	0.09403689	
KrakenUniq	SRR11772366	0	
KrakenUniq	SRR11772374	0	
KrakenUniq	SRR11772380	0.07121708	
KrakenUniq	SRR11772386	0	
KrakenUniq	SRR12340058	0.20094405	
KrakenUniq	SRR12340064	0.0552996	
KrakenUniq	SRR12340077	0.09881911	
KrakenUniq	SRR12340084	0.0966954	
KrakenUniq	SRR12340087	0.03779378	
Centrifuge	SRR11772358	0.15464114	0.0937853023076923
Centrifuge	SRR11772363	0.21967473	
Centrifuge	SRR11772364	0.09817281	
Centrifuge	SRR11772365	0.09403689	
Centrifuge	SRR11772366	0.07199087	
Centrifuge	SRR11772374	0	
Centrifuge	SRR11772380	0.06847796	
Centrifuge	SRR11772386	0	
Centrifuge	SRR12340058	0.20094405	
Centrifuge	SRR12340064	0.0596571	
Centrifuge	SRR12340077	0.10609414	
Centrifuge	SRR12340084	0.10391334	
Centrifuge	SRR12340087	0.0416059	
Kraken2X	SRR11772358	0.17874528	0.0849495230769231
Kraken2X	SRR11772363	0.16656655	
Kraken2X	SRR11772364	0.0245432	
Kraken2X	SRR11772365	0	
Kraken2X	SRR11772366	0.14398173	
Kraken2X	SRR11772374	0	
Kraken2X	SRR11772380	0.14791239	
Kraken2X	SRR11772386	0.08147763	
Kraken2X	SRR12340058	0	
Kraken2X	SRR12340064	0.07147567	
Kraken2X	SRR12340077	0.13155673	
Kraken2X	SRR12340084	0.10466002	
Kraken2X	SRR12340087	0.0534246	
Kaiju	SRR11772358	0.22009436	0.120817643846154
Kaiju	SRR11772363	0.22208873	
Kaiju	SRR11772364	0.24543202	
Kaiju	SRR11772365	0.18807378	
Kaiju	SRR11772366	0.07199087	
Kaiju	SRR11772374	0	
Kaiju	SRR11772380	0.20954256	
Kaiju	SRR11772386	0.02715921	
Kaiju	SRR12340058	0	
Kaiju	SRR12340064	0.08787118	
Kaiju	SRR12340077	0.11215666	
Kaiju	SRR12340084	0.11498913	
Kaiju	SRR12340087	0.07123087	
MMseqs2	SRR11772358	0.1425131	0.0722930853846154
MMseqs2	SRR11772363	0.15691052	
MMseqs2	SRR11772364	0.0736296	
MMseqs2	SRR11772365	0	
MMseqs2	SRR11772366	0.07199087	
MMseqs2	SRR11772374	0	
MMseqs2	SRR11772380	0.10819518	
MMseqs2	SRR11772386	0.10863684	
MMseqs2	SRR12340058	0	
MMseqs2	SRR12340064	0.05545634	
MMseqs2	SRR12340077	0.09760661	
MMseqs2	SRR12340084	0.08176175	
MMseqs2	SRR12340087	0.0431093	
Metabuli	SRR11772358	0.32291685	0.166437587692308
Metabuli	SRR11772363	0.37899925	
Metabuli	SRR11772364	0.19634561	
Metabuli	SRR11772365	0.18807378	
Metabuli	SRR11772366	0	
Metabuli	SRR11772374	0	
Metabuli	SRR11772380	0.16982534	
Metabuli	SRR11772386	0.08147763	
Metabuli	SRR12340058	0.20094405	
Metabuli	SRR12340064	0.12232371	
Metabuli	SRR12340077	0.21340079	
Metabuli	SRR12340084	0.18853737	
Metabuli	SRR12340087	0.10084426	
Metabuli-P	SRR11772358	0.11816268	
Metabuli-P	SRR11772363	0.10863036	
Metabuli-P	SRR11772364	0.0490864	
Metabuli-P	SRR11772365	0.09403689	
Metabuli-P	SRR11772366	0	
Metabuli-P	SRR11772374	0	
Metabuli-P	SRR11772380	0.08354311	
Metabuli-P	SRR11772386	0	
Metabuli-P	SRR12340058	0	
Metabuli-P	SRR12340064	0.04529927	
Metabuli-P	SRR12340077	0.07032526	
Metabuli-P	SRR12340084	0.07180598	
Metabuli-P	SRR12340087	0.04057755	
Hybrid	SRR11772358	0.30958883	0.176338160769231
Hybrid	SRR11772363	0.35968719	
Hybrid	SRR11772364	0.31906162	
Hybrid	SRR11772365	0.18807378	
Hybrid	SRR11772366	0.07199087	
Hybrid	SRR11772374	0	
Hybrid	SRR11772380	0.24652066	
Hybrid	SRR11772386	0.02715921	
Hybrid	SRR12340058	0.20094405	
Hybrid	SRR12340064	0.12222966	
Hybrid	SRR12340077	0.18187567	
Hybrid	SRR12340084	0.17123922	
Hybrid	SRR12340087	0.09402533	
