Tool	Sample	Value
Kraken2	SRR11772390	0
Kraken2	SRR11772391	0
Kraken2	SRR11772392	0
Kraken2	SRR11772393	0
Kraken2	SRR11772394	0
KrakenUniq	SRR11772390	0
KrakenUniq	SRR11772391	0
KrakenUniq	SRR11772392	0
KrakenUniq	SRR11772393	0
KrakenUniq	SRR11772394	0
Centrifuge	SRR11772390	0
Centrifuge	SRR11772391	0
Centrifuge	SRR11772392	0
Centrifuge	SRR11772393	0
Centrifuge	SRR11772394	0
Kraken2X	SRR11772390	0
Kraken2X	SRR11772391	0
Kraken2X	SRR11772392	0
Kraken2X	SRR11772393	0
Kraken2X	SRR11772394	0
Kaiju	SRR11772390	0
Kaiju	SRR11772391	0
Kaiju	SRR11772392	0
Kaiju	SRR11772393	0
Kaiju	SRR11772394	0
MMseqs2	SRR11772390	0
MMseqs2	SRR11772391	0
MMseqs2	SRR11772392	0
MMseqs2	SRR11772393	0
MMseqs2	SRR11772394	0
Metabuli	SRR11772390	0
Metabuli	SRR11772391	0
Metabuli	SRR11772392	0
Metabuli	SRR11772393	0
Metabuli	SRR11772394	0
Metabuli-P	SRR11772390	0
Metabuli-P	SRR11772391	0
Metabuli-P	SRR11772392	0
Metabuli-P	SRR11772393	0
Metabuli-P	SRR11772394	0
Hybrid	SRR11772390	0
Hybrid	SRR11772391	0
Hybrid	SRR11772392	0
Hybrid	SRR11772393	0
Hybrid	SRR11772394	0
