Tool	Sample	Value
Kraken2	SRR11772390	1
Kraken2	SRR11772391	0
Kraken2	SRR11772392	0
Kraken2	SRR11772393	0
Kraken2	SRR11772394	0
KrakenUniq	SRR11772390	0
KrakenUniq	SRR11772391	1
KrakenUniq	SRR11772392	0
KrakenUniq	SRR11772393	1
KrakenUniq	SRR11772394	2
Centrifuge	SRR11772390	91
Centrifuge	SRR11772391	123
Centrifuge	SRR11772392	116
Centrifuge	SRR11772393	141
Centrifuge	SRR11772394	87
Kraken2X	SRR11772390	0
Kraken2X	SRR11772391	0
Kraken2X	SRR11772392	0
Kraken2X	SRR11772393	0
Kraken2X	SRR11772394	0
Kaiju	SRR11772390	0
Kaiju	SRR11772391	0
Kaiju	SRR11772392	0
Kaiju	SRR11772393	0
Kaiju	SRR11772394	0
MMseqs2	SRR11772390	2
MMseqs2	SRR11772391	7
MMseqs2	SRR11772392	2
MMseqs2	SRR11772393	3
MMseqs2	SRR11772394	0
Metabuli	SRR11772390	0
Metabuli	SRR11772391	0
Metabuli	SRR11772392	0
Metabuli	SRR11772393	0
Metabuli	SRR11772394	0
