Tool	Sample	Value
Kraken2	SRR11772358	0.175
Kraken2	SRR11772363	0.215
Kraken2	SRR11772364	0.049
Kraken2	SRR11772365	0.094
Kraken2	SRR11772366	0.000
Kraken2	SRR11772374	0.000
Kraken2	SRR11772380	0.081
Kraken2	SRR11772386	0.000
Kraken2	SRR12340077	0.118
Kraken2	SRR12340084	0.114
Kraken2	SRR12340087	0.052
Kraken2	SRR12340058	0.201
Kraken2	SRR12340064	0.067
KrakenUniq	SRR11772358	0.166
KrakenUniq	SRR11772363	0.229
KrakenUniq	SRR11772364	0.049
KrakenUniq	SRR11772365	0.094
KrakenUniq	SRR11772366	0.000
KrakenUniq	SRR11772374	0.000
KrakenUniq	SRR11772380	0.089
KrakenUniq	SRR11772386	0.081
KrakenUniq	SRR12340077	0.113
KrakenUniq	SRR12340084	0.114
KrakenUniq	SRR12340087	0.049
KrakenUniq	SRR12340058	0.219
KrakenUniq	SRR12340064	0.064
Centrifuge	SRR11772358	0.200
Centrifuge	SRR11772363	0.398
Centrifuge	SRR11772364	3.559
Centrifuge	SRR11772365	6.018
Centrifuge	SRR11772366	8.351
Centrifuge	SRR11772374	0.176
Centrifuge	SRR11772380	0.333
Centrifuge	SRR11772386	1.005
Centrifuge	SRR12340077	0.380
Centrifuge	SRR12340084	0.161
Centrifuge	SRR12340087	0.060
Centrifuge	SRR12340058	2.850
Centrifuge	SRR12340064	0.088
Kraken2X	SRR11772358	0.379
Kraken2X	SRR11772363	0.295
Kraken2X	SRR11772364	0.098
Kraken2X	SRR11772365	0.282
Kraken2X	SRR11772366	0.288
Kraken2X	SRR11772374	0.016
Kraken2X	SRR11772380	0.292
Kraken2X	SRR11772386	0.081
Kraken2X	SRR12340077	0.228
Kraken2X	SRR12340084	0.202
Kraken2X	SRR12340087	0.121
Kraken2X	SRR12340058	0.000
Kraken2X	SRR12340064	0.143
Kaiju	SRR11772358	0.501
Kaiju	SRR11772363	0.422
Kaiju	SRR11772364	0.319
Kaiju	SRR11772365	0.376
Kaiju	SRR11772366	0.288
Kaiju	SRR11772374	0.016
Kaiju	SRR11772380	0.378
Kaiju	SRR11772386	0.081
Kaiju	SRR12340077	0.241
Kaiju	SRR12340084	0.256
Kaiju	SRR12340087	0.157
Kaiju	SRR12340058	0.201
Kaiju	SRR12340064	0.190
MMseqs2	SRR11772358	0.471
MMseqs2	SRR11772363	0.374
MMseqs2	SRR11772364	0.295
MMseqs2	SRR11772365	0.376
MMseqs2	SRR11772366	0.216
MMseqs2	SRR11772374	0.016
MMseqs2	SRR11772380	0.334
MMseqs2	SRR11772386	0.109
MMseqs2	SRR12340077	0.221
MMseqs2	SRR12340084	0.235
MMseqs2	SRR12340087	0.149
MMseqs2	SRR12340058	0.000
MMseqs2	SRR12340064	0.181
Metabuli	SRR11772358	0.491
Metabuli	SRR11772363	0.471
Metabuli	SRR11772364	0.147
Metabuli	SRR11772365	0.470
Metabuli	SRR11772366	0.216
Metabuli	SRR11772374	0.016
Metabuli	SRR11772380	0.363
Metabuli	SRR11772386	0.081
Metabuli	SRR12340077	0.296
Metabuli	SRR12340084	0.254
Metabuli	SRR12340087	0.160
Metabuli	SRR12340058	0.201
Metabuli	SRR12340064	0.190
