Tool	Variant	Reads	Correct	Wrong
Kraken2	Omicron	1440731	188715	6395
Kraken2	Omicron	866241	103127	4801
Kraken2	Omicron	1169039	66288	4875
Kraken2	Beta	553478	20895	2251
Kraken2	Beta	5012511	218939	20933
Kraken2	Beta	2111057	91100	8196
KrakenUniq	Omicron	1440731	191146	5925
KrakenUniq	Omicron	866241	106652	6613
KrakenUniq	Omicron	1169039	67328	4681
KrakenUniq	Beta	553478	21514	1638
KrakenUniq	Beta	5012511	219003	15808
KrakenUniq	Beta	2111057	93935	6173
Centrifuge	Omicron	1440731	163565	8576
Centrifuge	Omicron	866241	88769	7128
Centrifuge	Omicron	1169039	58377	4587
Centrifuge	Beta	553478	13751	1614
Centrifuge	Beta	5012511	143805	20435
Centrifuge	Beta	2111057	61254	6300
Kaiju	Omicron	1440731	106075	6459
Kaiju	Omicron	866241	55860	6474
Kaiju	Omicron	1169039	42299	4701
Kaiju	Beta	553478	6945	110
Kaiju	Beta	5012511	69470	1267
Kaiju	Beta	2111057	30554	509
Kraken2X	Omicron	1440731	137333	7235
Kraken2X	Omicron	866241	75625	10565
Kraken2X	Omicron	1169039	51631	4466
Kraken2X	Beta	553478	11907	2245
Kraken2X	Beta	5012511	111766	22229
Kraken2X	Beta	2111057	48604	9614
MMseqs2	Omicron	1440731	54569	2585
MMseqs2	Omicron	866241	28006	1840
MMseqs2	Omicron	1169039	16165	1449
MMseqs2	Beta	553478	3641	232
MMseqs2	Beta	5012511	36715	2668
MMseqs2	Beta	2111057	15998	1096
Metabuli	Omicron	1440731	171304	3272
Metabuli	Omicron	866241	96478	5089
Metabuli	Omicron	1169039	61113	3204
Metabuli	Beta	553478	13936	230
Metabuli	Beta	5012511	142147	2382
Metabuli	Beta	2111057	57874	2484
