Tool	Rank	Precision	Sensitivity	F1
Kraken2	Family	0.77267	0.42947	0.55208
Kraken2	Genus	0.60760	0.32331	0.42205
KrakenUniq	Family	0.79995	0.41571	0.54710
KrakenUniq	Genus	0.61559	0.30865	0.41115
Centrifuge	Family	0.57717	0.43553	0.49644
Centrifuge	Genus	0.42649	0.31344	0.36133
Kaiju	Family	0.85374	0.36913	0.51541
Kaiju	Genus	0.67245	0.26421	0.37936
Kraken2X	Family	0.79106	0.57716	0.66739
Kraken2X	Genus	0.64219	0.44049	0.52255
MMseqs2	Family	0.90557	0.27242	0.41884
MMseqs2	Genus	0.76148	0.12606	0.21631
Metamaps	Family	0.9170	0.1694	0.285971649484536
Metamaps	Genus	0.8620	0.1592	0.268763023893459
Metabuli	Family	0.814764	0.675501	0.73846
Metabuli	Genus	0.652273	0.525114	0.58205
