Tool	Rank	Precision	Sensitivity	F1
Kraken2	Species	0.98557	0.93189	0.95798
Kraken2	Subspecies	0.88067	0.52245	0.65583
KrakenUniq	Species	0.99129	0.94084	0.96541
KrakenUniq	Subspecies	0.92833	0.52714	0.67244
Centrifuge	Species	0.98057	0.94873	0.96439
Centrifuge	Subspecies	0.86464	0.58423	0.69730
Kaiju	Species	0.89544	0.41510	0.56724
Kaiju	Subspecies	0.73005	0.08714	0.15570
Kraken2X	Species	0.89588	0.72349	0.80051
Kraken2X	Subspecies	0.73101	0.28267	0.40770
MMseqs2	Species	0.93961	0.11601	0.20652
MMseqs2	Subspecies	0.71841	0.01630	0.03188
Metamaps	Species	0.9965	0.9227	0.958181065027095
Metamaps	Subspecies	0.8384	0.7763	0.806155843190686
Metabuli	Species	0.981209	0.941457	0.96137
Metabuli	Subspecies	0.864585	0.51367	0.64781
