Tool	Rank	Precision	Sensitivity	F1
Hybrid	Species	0.98861	0.927954	0.957322
Hybrid	Subspecies	0.96769	0.588606	0.731979
Kraken2	Species	0.985569	0.931887	0.957976
Kraken2	Subspecies	0.880672	0.522449	0.655833
KrakenUniq	Species	0.991293	0.940835	0.965405
KrakenUniq	Subspecies	0.928327	0.527135	0.672438
Centrifuge	Species	0.980569	0.948728	0.964386
Centrifuge	Subspecies	0.864642	0.58423	0.6973
Kaiju	Species	0.895436	0.415096	0.567238
Kaiju	Subspecies	0.730047	0.0871423	0.1557
Kraken2X	Species	0.895881	0.723486	0.800507
Kraken2X	Subspecies	0.731014	0.282674	0.407696
MMseqs2	Species	0.939607	0.11597194	0.2064612
MMseqs2	Subspecies	0.718411	0.01629519	0.03186756
Metamaps_EM	Species	0.996511	0.92271426	0.95819384
Metamaps_EM	Subspecies	0.838418	0.77632802	0.80617927
Metamaps	Species	0.998989	0.91806819	0.95682072
Metamaps	Subspecies	0.980451	0.58637643	0.73385664
Metabuli-P	Species	0.989722	0.925946	0.956772
Metabuli-P	Subspecies	0.904294	0.501788	0.64543
Metabuli	Species	0.980967	0.934921	0.95739
Metabuli	Subspecies	0.897813	0.503633	0.645288
