Tool	Rank	Precision	Sensitivity	F1
Kraken2	Species	0.973807	0.868322	0.918044
Kraken2	Subspecies	0.871396	0.44676	0.590681
KrakenUniq	Species	0.985552	0.889435	0.93503
KrakenUniq	Subspecies	0.921281	0.453312	0.607638
Centrifuge	Species	0.963759	0.912748	0.93756
Centrifuge	Subspecies	0.818008	0.5224	0.637608
Kaiju	Species	0.871846	0.256209	0.396036
Kaiju	Subspecies	0.670725	0.0524564	0.097303
Kraken2X	Species	0.826523	0.562434	0.669372
Kraken2X	Subspecies	0.621354	0.189749	0.290718
MMseqs2	Species	0.889872	0.12619138	0.22103775
MMseqs2	Subspecies	0.579712	0.01814853	0.03519523
Metabuli-P	Species	0.97309	0.863003	0.914747
Metabuli-P	Subspecies	0.881706	0.428453	0.576678
Metabuli	Species	0.957447	0.880892	0.917576
Metabuli	Subspecies	0.871156	0.431257	0.576917
Metamaps_EM	Species	0.99504	0.8770347	0.93231815
Metamaps_EM	Subspecies	0.825365	0.72748272	0.7733389
Metamaps	Species	0.998431	0.87189253	0.93088123
Metamaps	Subspecies	0.974969	0.54181464	0.69654295
Hybrid	Species	0.975127	0.877653	0.923826
Hybrid	Subspecies	0.946056	0.543059	0.690026
