Tool	Rank	Precision	Sensitivity	F1
Hybrid	Species	0.999762	0.996024	0.997889
Hybrid	Subspecies	0.994294	0.713654	0.830917
Kraken2	Species	0.997194	0.995327	0.99626
Kraken2	Subspecies	0.890016	0.691463	0.778276
KrakenUniq	Species	0.998321	0.995518	0.996918
KrakenUniq	Subspecies	0.96252	0.692138	0.805238
Centrifuge	Species	0.999379	0.996366	0.99787
Centrifuge	Subspecies	0.959349	0.72874	0.828293
Kaiju	Species	0.992036	0.912944	0.950848
Kaiju	Subspecies	0.987122	0.364475	0.532379
Kraken2X	Species	0.9806	0.978397	0.979498
Kraken2X	Subspecies	0.837908	0.602376	0.700883
MMseqs2	Species	0.999713	0.5962294	0.74696716
MMseqs2	Subspecies	0.998838	0.08734221	0.16063765
Metamaps_EM	Species	0.999364	0.99819476	0.99877904
Metamaps_EM	Subspecies	0.911736	0.91066844	0.91120191
Metamaps	Species	0.999844	0.99538034	0.99760718
Metamaps	Subspecies	0.994424	0.71336688	0.83076817
Metabuli-P	Species	0.998643	0.978054	0.988241
Metabuli-P	Subspecies	0.955589	0.647582	0.771998
Metabuli	Species	0.998641	0.978055	0.988241
Metabuli	Subspecies	0.955587	0.647583	0.771998
