Tool	Rank	Precision	Sensitivity	F1
Hybrid	Species	0.999601	0.965953	0.982489
Hybrid	Subspecies	0.998599	0.417953	0.589272
Kraken2	Species	0.996387	0.961808	0.978792191478377
Kraken2	Subspecies	0.971004	0.406287	0.572872838271651
KrakenUniq	Species	0.999601	0.965953	0.982488992673821
KrakenUniq	Subspecies	0.998599	0.417953	0.589272328650131
Centrifuge	Species	0.998702	0.966609	0.982393464971193
Centrifuge	Subspecies	0.957633	0.359945	0.523225509510632
Kaiju	Species	0.965294	0.674275	0.793956962896956
Kaiju	Subspecies	0.925003	0.146237	0.252547820676972
Kraken2X	Species	0.950846	0.71244	0.814557116743603
Kraken2X	Subspecies	0.807942	0.17771	0.291338875830415
MMseqs2	Species	0.974679	0.47789315	0.641334638763176
MMseqs2	Subspecies	0.878113	0.08271934	0.151195842982179
Metabuli-P	Species	0.999045	0.944646	0.971084
Metabuli-P	Subspecies	0.984226	0.401155	0.569991
Metabuli	Species	0.998978	0.944905	0.971189
Metabuli	Subspecies	0.984022	0.401253	0.570055
