Tool	Rank	Precision	Sensitivity	F1
Hybrid	Family	0.72719	0.52638	0.610701
Hybrid	Genus	0.565323	0.389067	0.46092
Kraken2	Family	0.772668	0.429465	0.552075
Kraken2	Genus	0.607598	0.323313	0.422048
KrakenUniq	Family	0.799951	0.415708	0.547104
KrakenUniq	Genus	0.615588	0.308649	0.411152
Centrifuge	Family	0.577172	0.435528	0.496444
Centrifuge	Genus	0.426485	0.313442	0.361328
Kaiju	Family	0.853736	0.369125	0.515406
Kaiju	Genus	0.672451	0.264205	0.37936
Kraken2X	Family	0.791061	0.577164	0.667393
Kraken2X	Genus	0.64219	0.440493	0.522554
MMseqs2	Family	0.905568	0.2724166	0.418837
MMseqs2	Genus	0.761481	0.12605804	0.216308
MetaMaps_EM	Family	0.917023	0.16936893	0.28592849
MetaMaps_EM	Genus	0.862006	0.15920701	0.2687733
MetaMaps	Family	0.956942	0.16798019	0.28579274
MetaMaps	Genus	0.904873	0.15697897	0.26754394
Metabuli-P	Family	0.900292	0.616489	0.731839
Metabuli-P	Genus	0.781913	0.519481	0.624237
Metabuli	Family	0.824701	0.717533	0.767393
Metabuli	Genus	0.688425	0.575779	0.627084
