Tool	Rank	Precision	Sensitivity	F1
Hybrid	Family	0.643149	0.397807	0.491565
Hybrid	Genus	0.493575	0.288601	0.364231
Kraken2	Family	0.679822	0.405303	0.507838
Kraken2	Genus	0.535821	0.296434	0.3817
KrakenUniq	Family	0.79545	0.320775	0.457184
KrakenUniq	Genus	0.611159	0.23594	0.340449
Centrifuge	Family	0.500502	0.353928	0.414643
Centrifuge	Genus	0.362769	0.249063	0.29535
Kaiju	Family	0.859048	0.180605	0.298462
Kaiju	Genus	0.681875	0.12834	0.216022
Kraken2X	Family	0.679822	0.405303	0.507838
Kraken2X	Genus	0.535821	0.296434	0.3817
MMseqs2	Family	0.39949807	0.264192	0.4045791
MMseqs2	Genus	0.705331	0.1288327	0.21787018
Metabuli-P	Family	0.834246	0.526516	0.645585
Metabuli-P	Genus	0.707506	0.42974	0.534701
Metabuli	Family	0.751293	0.608636	0.672482
Metabuli	Genus	0.613599	0.47481	0.535355
Metamaps_EM	Family	0.917023	0.16340655	0.27738516
Metamaps_EM	Genus	0.862006	0.15360236	0.26074255
Metamaps	Family	0.949101	0.11229448	0.20082769
Metamaps	Genus	0.898289	0.1048944	0.18785296
