Tool	Rank	Precision	Sensitivity	F1
Kraken2	Family	0.854784	0.798694	0.825787
Kraken2	Genus	0.705183	0.647785	0.675267
KrakenUniq	Family	0.835113	0.758243	0.794824
KrakenUniq	Genus	0.672583	0.601229	0.634908
Centrifuge	Family	0.774298	0.741064	0.757317
Centrifuge	Genus	0.613794	0.582366	0.597667
Kaiju	Family	0.883631	0.870399	0.876965
Kaiju	Genus	0.718885	0.699782	0.709205
Kraken2X	Family	0.916709	0.9077	0.912182
Kraken2X	Genus	0.796718	0.783026	0.789813
MMseqs2	Family	0.981044	0.783624	0.871291
MMseqs2	Genus	0.950185	0.561495	0.705869
Metabuli-P	Family	0.975845	0.770681	0.861213
Metabuli-P	Genus	0.911784	0.709889	0.798269
Metabuli	Family	0.927469	0.912993	0.920174
Metabuli	Genus	0.824762	0.79352	0.808839
Metamaps_EM	Family	0.978571	0.50384394	0.66519441
Metamaps_EM	Genus	0.91607	0.47166301	0.62270816
Metamaps	Family	0.977437	0.50377371	0.66487106
Metamaps	Genus	0.908444	0.46671798	0.61663594
Hybrid	Family	0.849901	0.811844	0.830437
Hybrid	Genus	0.698994	0.656222	0.676933
