Tool	Rank	Precision	Sensitivity	F1
Hybrid	Family	0.860946	0.63212175	0.72899932
Hybrid	Genus	0.702868	0.46038417	0.5563528
Kraken2	Family	0.828609	0.305681	0.446605
Kraken2	Genus	0.652465	0.231244	0.341467
KrakenUniq	Family	0.820117	0.301344	0.440741
KrakenUniq	Genus	0.63791	0.22809	0.33603
Centrifuge	Family	0.641146	0.326264	0.43246
Centrifuge	Genus	0.473665	0.233531	0.312828
Kaiju	Family	0.863089	0.58163	0.694943
Kaiju	Genus	0.684188	0.4449	0.539188
Kraken2X	Family	0.824825	0.576872	0.678918
Kraken2X	Genus	0.66153	0.427709	0.519523
MMseqs2	Family	0.923676	0.62228803	0.743604
MMseqs2	Genus	0.815314	0.44378873	0.57473811
Metabuli-P	Family	0.924736	0.535278	0.678063
Metabuli-P	Genus	0.782556	0.438499	0.562055
Metabuli	Family	0.822387	0.649165	0.725581
Metabuli	Genus	0.660564	0.500233	0.569326
