Tool	Rank	Precision	Sensitivity	F1
Kraken2	Genus	0.988807	0.931302	0.959193
Kraken2	Species	0.933557	0.865338	0.898154
KrakenUniq	Genus	0.992154	0.938631	0.964651
KrakenUniq	Species	0.939011	0.871117	0.903791
Centrifuge	Genus	0.975339	0.945582	0.96023
Centrifuge	Species	0.918096	0.876233	0.896676
Kaiju	Genus	0.963499	0.648612	0.775303
Kaiju	Species	0.832595	0.364458	0.506988
Kraken2X	Genus	0.952132	0.842985	0.89424
Kraken2X	Species	0.828535	0.649433	0.728132
MMseqs2	Genus	0.978062	0.37876996	0.546067
MMseqs2	Species	0.881493	0.09850606	0.177209
Metabuli	Genus	0.980967	0.944666	0.962474
Metabuli	Species	0.919693	0.87324	0.895865
Metabuli-P	Genus	0.990633	0.930605	0.959681
Metabuli-P	Species	0.930558	0.863952	0.896019
Metamaps	Genus	0.993204	0.88406109	0.935460
Metamaps	Species	0.957122	0.85194407	0.901476
