Tool	Rank	Precision	Sensitivity	F1
Hybrid	Genus	0.989938	0.988498	0.989218
Hybrid	Species	0.945624	0.942161	0.94389
Kraken2	Genus	0.990879	0.987953	0.989414
Kraken2	Species	0.945696	0.941142	0.943413
KrakenUniq	Genus	0.991333	0.987582	0.989454
KrakenUniq	Species	0.947551	0.942035	0.944785
Centrifuge	Genus	0.988291	0.985971	0.98713
Centrifuge	Species	0.942608	0.938199	0.940399
Kaiju	Genus	0.98842	0.980607	0.984498
Kaiju	Species	0.91514	0.834818	0.873136
Kraken2X	Genus	0.987796	0.986692	0.987244
Kraken2X	Species	0.915645	0.911574	0.913605
MMseqs2	Genus	0.99685	0.91298	0.953074
MMseqs2	Species	0.979962	0.516844	0.676758
MetaMaps_EM	Genus	0.993156	0.98014913	0.986610
MetaMaps_EM	Species	0.954476	0.94197579	0.948185
MetaMaps	Genus	0.993379	0.992455	0.992917
MetaMaps	Species	0.953676	0.950383	0.952027
Metabuli-P	Genus	0.993503	0.982324	0.987882
Metabuli-P	Species	0.964352	0.908629	0.935661
Metabuli	Genus	0.990591	0.98595	0.988265
Metabuli	Species	0.94861	0.915658	0.931843
