Tool	Rank	Precision	Sensitivity	F1
Hybrid	Genus	0.98962	0.966014	0.977675
Hybrid	Species	0.932361	0.882456	0.906722
Kraken2	Genus	0.993871	0.960452	0.976876
Kraken2	Species	0.93894	0.879305	0.908145
KrakenUniq	Genus	0.993803	0.960463	0.976849
KrakenUniq	Species	0.939349	0.881349	0.909425
Centrifuge	Genus	0.989559	0.960031	0.974572
Centrifuge	Species	0.930965	0.8748	0.902009
Kaiju	Genus	0.981901	0.905868	0.942353
Kaiju	Species	0.897247	0.605638	0.723151
Kraken2X	Genus	0.979177	0.912793	0.94482
Kraken2X	Species	0.890601	0.637225	0.742903
MMseqs2	Genus	0.9831	0.79968007	0.881954525
MMseqs2	Species	0.914813	0.42825109	0.583396827
Metabuli-P	Genus	0.992433	0.964131	0.978077
Metabuli-P	Species	0.956018	0.852118	0.901083
Metabuli	Genus	0.987644	0.96766	0.97755
Metabuli	Species	0.936514	0.862191	0.897817
