Tool	Rank	Precision	Sensitivity
Kraken2	Species	0.996371	0.961829
Kraken2	Subspecies	0.970974	0.406292
KrakenUniq	Species	0.999601	0.965953
KrakenUniq	Subspecies	0.998599	0.417953
Centrifuge	Species	0.998702	0.966609
Centrifuge	Subspecies	0.957633	0.359945
Kaiju	Species	0.965294	0.674275
Kaiju	Subspecies	0.925003	0.146237
Kraken2X	Species	0.950846	0.71244
Kraken2X	Subspecies	0.807942	0.17771
MMseqs2	Species	0.974679	0.47789315
MMseqs2	Subspecies	0.878113	0.08271934
Metabuli	Species	0.999076	0.965239
Metabuli	Subspecies	0.993606	0.402949
